# value    sigma   label
6.6260730    0.0000067     NPL-79
6.6260658    0.0000088     NIST-80
6.6260684    0.0000036     NMI-89
6.6260682    0.0000013     NPL-90
6.6260670    0.0000042     PTB-91
6.626071     0.000011      NIM-95
6.62606891   0.00000058    NIST-98
6.6260691    0.0000020     METAS-11
6.62606989   0.00000020    IAC-11
6.6260712    0.0000013     NPL-12
6.62607011   0.00000012    NRC-15
6.62606936   0.00000038    NIST-15
6.62607015   0.00000013    IAC-15
6.6260688    0.0000017     LNE-15
